"filename", "language", "Markdown", "TypeScript", "JSON with Comments", "TypeScript JSX", "JavaScript", "JSON", "XML", "CSS", "Prisma", "MS SQL", "comment", "blank", "total"
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\back-end\service\Employee.service.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 24
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\back-end\service\Project.service.ts", "TypeScript", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 69
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\back-end\service\User.service.ts", "TypeScript", 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 11, 36, 150
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\back-end\test\model\Category.test.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\back-end\test\model\Company.test.ts", "TypeScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 77
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\back-end\test\model\Employee.test.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 58
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\back-end\test\model\Project.test.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 40
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\back-end\test\model\User.test.ts", "TypeScript", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 91
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\back-end\test\service\CompanyService.test.ts", "TypeScript", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 113
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\back-end\test\service\ProjectService.test.ts", "TypeScript", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 102
